id,len,0,1,2,3,4,5,6,7,time
000003E9,8,17,00,01,5B,DA,00,00,00,240.547070
000003FF,8,05,00,00,56,C2,00,00,00,240.581110
000003FE,8,08,00,00,00,00,00,00,00,240.590070
00000405,8,16,00,00,AD,C9,00,00,00,240.591100
000003FE,8,11,00,00,02,6D,00,00,00,240.592040
000003FE,8,12,00,00,09,B4,00,00,00,240.593060
0000040B,8,17,02,A6,DD,10,00,00,00,240.594090
0000040C,8,14,00,00,02,E1,00,00,00,240.595020
0000040C,8,15,00,00,09,B4,00,00,00,240.596130
0000040F,8,15,00,00,00,01,00,00,00,240.597070
000003FF,8,06,00,00,54,DB,00,00,00,240.598100
000003FF,8,07,00,00,0D,98,00,00,00,240.599120
000003FF,8,08,00,00,10,D6,00,00,00,240.600140
00000404,8,09,00,00,00,01,00,00,00,240.601170
0000040E,8,0A,00,00,00,2F,00,00,00,240.602110
00000410,8,07,00,00,00,01,00,00,00,240.603130
00000722,8,FF,63,02,01,21,01,08,0A,240.642300
000003F6,8,18,9C,00,00,00,00,00,00,240.662100
000003FF,8,05,00,00,56,BB,00,00,00,240.680190
000003ED,8,00,00,00,19,F6,00,00,00,240.742480
000003EE,8,12,00,00,0F,46,00,00,00,240.747090
000003FF,8,05,00,00,56,BC,00,00,00,240.782160
000007BE,8,00,04,2D,21,01,08,00,00,240.842320
000003F6,8,18,00,00,00,00,00,00,00,240.862120
000003FF,8,05,00,00,56,BF,00,00,00,240.890020
000003FF,8,0B,00,00,00,01,00,00,00,240.899070
00000405,8,16,00,00,AD,B5,00,00,00,240.900010
000003FE,8,11,00,00,02,93,00,00,00,240.901030
000003FE,8,12,00,00,09,66,00,00,00,240.902050
0000040B,8,17,02,A6,67,E0,00,00,00,240.902990
0000040C,8,14,00,00,02,93,00,00,00,240.904020
0000040C,8,15,00,00,09,66,00,00,00,240.905040
0000040F,8,15,00,00,00,00,00,00,00,240.906060
000003FF,8,06,00,00,54,D8,00,00,00,240.907090
